Username,Groupname
hshen,jira-users
gsimoni,tempo-admin
dalbano,jira-Calgary-users
DLepine,jira-Calgary-users
lmantilla,jira-users
Xydom,jira-users
OAvalos,jira-software-users
pgonzalez,jira-users
JLucas,tempo-calgary-users
gkarwchan,jira-developers
abarron,jira-software-users
crerardon,jira-users
it-alert,jira-software-users
jkong,tempo-calgary-users
Chamuli,jira-Calgary-users
adoublet,jira-software-users
jsimmons,jira-users
pswoboda,jira-jakarta-users
wnugroho,jira-users
admin,jira-Calgary-users
jbeltran,jira-Calgary-users
Stefan.Goga,tempo-calgary-users
dalbano,jira-users
kkwok,IT Alert
hshen,jira-Calgary-users
DLepine,jira-users
JChavez,tempo-calgary-users
addon_io.tempo.jira,atlassian-addons
mtingley,jira-software-users
MGuadarrama,jira-software-users
MOng,jira-software-users
NMehta,jira-software-users
DMcLellan,jira-software-users
DWyllie,jira-software-users
eguzman,jira-developers
BMartinez,jira-Calgary-users
JChavez,jira-software-users
MGuadarrama,tempo-calgary-users
Chamuli,jira-users
SPradhan,jira-software-users
malemzaden,jira-developers
cmedina,jira-software-users
jbeltran,jira-users
MOng,tempo-calgary-users
admin,jira-users
mgarcia,jira-users
jsimmons,jira-Calgary-users
MRead,jira-users
tkretschmer,tempo-team-managers
addon_io.tempo.jira,atlassian-addons-admin
tmarx,jira-users
RPSerrano,jira-users
RAguilar,jira-users
SSaleem,jira-software-users
kkwok,jira-it-admin
OAvalos,Tempo-TimeTracking
AGarcia,tempo-calgary-users
addon_is.origo.jira.tempo-plugin,jira-software-users
skumar,jira-software-users
HMercado,jira-users
HUddin,jira-Calgary-users
tkretschmer,jira-Calgary-users
557057:1d60fd81-a7e5-4698-b042-fe38d69c9c0d,jira-administrators
it-alert,IT Alert
jsimmons,tempo-team-managers
admin,tempo-admin
FRamirez,jira-Calgary-users
giribe,tempo-calgary-users
apatino,jira-software-users
SGhantous,tempo-calgary-users
SKushevarova,jira-users
ittest,jira-users
SSaleem,tempo-calgary-users
jsimmons,jira-servicedesk-users
gsimoni,jira-Calgary-users
RGonzalez,jira-software-users
TMorales,jira-Calgary-users
skumar,tempo-calgary-users
AGarcia,jira-software-users
557057:1d60fd81-a7e5-4698-b042-fe38d69c9c0d,administrators
OAvalos,stash-users
Xydom,tempo-team-managers
pceja,jira-Calgary-users
OZeaiter,jira-Calgary-users
SGhantous,jira-software-users
giribe,jira-software-users
pswoboda,tempo-team-managers
gwijayanto,jira-jakarta-users
tmarx,jira-Calgary-users
dpratama,jira-users
HMercado,jira-Calgary-users
HUddin,jira-users
dforden,jira-users
MGuadarrama,Tempo-TimeTracking
jbonilla,tempo-calgary-users
NGUPTA,jira-software-users
mduarte,jira-users
tkretschmer,jira-users
jsimmons,tempo-admin
dpurwandari,jira-jakarta-users
kkwok,tempo-calgary-users
RSantos,jira-software-users
FRamirez,jira-users
dpratama,jira-jakarta-users
dforden,jira-jakarta-users
jbeltran,jira-servicedesk-users
addon_io.tempo.jira,jira-software-users
SKushevarova,jira-Calgary-users
NGUPTA,tempo-calgary-users
TMorales,jira-users
jbonilla,jira-software-users
baribowo,tempo-jakarta-users
gwijayanto,jira-users
dcahyono,tempo-jakarta-users
gsimoni,jira-users
dpurwandari,jira-users
pceja,jira-users
kdykman,tempo-calgary-users
Xydom,tempo-admin
BBrown,jira-software-users
MGuadarrama,stash-users
Stefan.Goga,Tempo-TimeTracking
